fighter,odds,ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,current_lose_streak,current_win_streak,draw,avg_SIG_STlanded,avg_SIG_STpct,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,match_weightclass_rank,Women's Flyweight_rank,Women's Featherweight_rank,Women's Strawweight_rank,Women's Bantamweight_rank,Heavyweight_rank,Light Heavyweight_rank,Middleweight_rank,Welterweight_rank,Lightweight_rank,Featherweight_rank,Bantamweight_rank,Flyweight_rank,Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,kd_bout,sig_str_landed_bout,sig_str_attempted_bout,sig_str_pct_bout,tot_str_landed_bout,tot_str_attempted_bout,td_landed_bout,td_attempted_bout,td_pct_bout,sub_attempts_bout,pass_bout,rev_bout,bout_id,opponent,corner,avg_SUATT,country_of_origin,camp,camp_country,camp_city,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts
Ike Villanueva,-134,74.62686567,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Light Heavyweight,MALE,3,2,0,0,3.14,0.37,0.0,0.0,0,2,3,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,225,36,1,0,1,1,1,2,0,0,1,7.62,7.62,-5,-0.35,1.7,2.61,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,d3baa9c0e1d03bec6909c3b560670720,Vinicius Moreira,Red,,,,,,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Roxanne Modafferi,260,260.0,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,0,False,Women's Flyweight,FEMALE,3,0,1,0,3.14,0.31,1.55,0.25,1,7,32,1,0,1,2,1,0,0,4,Orthodox,170.18,175.26,125,38,0,0,1,-1,-6,-20,-1,0,0,-7.62,-2.54,-4,1.63,-0.1,0.33,1,1,8.0,8.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,8b4607657b5adaf3f0c2d8cd0ad8edd9,Viviane Araujo,Red,,United States,,,,jiu jitsu,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
Matt Schnell,105,105.0,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Flyweight,MALE,3,1,0,0,3.73,0.35,0.64,0.33,4,3,11,0,0,1,1,0,2,0,4,Orthodox,172.72,177.8,125,31,-1,2,-2,-2,-1,-2,0,2,-2,-2.54,-5.08,6,-0.18,-1.6,-0.64,1,1,9.0,,,,,,,,,,,,9.0,,1,,,,,,,,,,,,,,,,,,0981670ffe86d4aedb2e8745774aee17,Tyson Nam,Red,,United States,,,,mixed,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Lerone Murphy,-305,32.78688525,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Featherweight,MALE,3,0,1,1,2.59,0.42,0.78,0.5,1,0,4,0,0,0,0,1,0,0,1,Orthodox,175.26,185.42,145,29,0,0,1,3,3,15,0,0,0,-5.08,-12.7,6,1.37,-1.6,-0.13,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,a2ccbbf96dbdf01341f0657bef867802,Douglas Silva de Andrade,Red,,England,,,,mixed,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Omari Akhmedov,128,128.0,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Middleweight,MALE,3,1,0,1,2.92,0.34,2.56,0.5,3,4,33,0,0,1,5,2,0,0,8,Orthodox,182.88,185.42,185,33,-1,1,0,-3,-2,-22,0,2,0,7.62,0.0,-4,0.85,0.1,-2.56,1,1,13.0,,,,,,,13.0,,,,,,,1,,,,,,,,,,,,,,,,,,3263de2ef3ea3ec8cd7ad914cf7ee869,Tom Breese,Red,,Russia,American Top Team,Florida,Coconut Creek,sambo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ricky Simon,-400,25.0,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Bantamweight,MALE,3,0,1,0,3.21,0.41,6.61,0.51,4,2,19,0,0,2,2,1,0,0,5,Orthodox,167.64,175.26,135,28,0,-1,-4,-5,-2,-19,0,-1,0,2.54,-5.08,0,-3.21,-0.2,-6.61,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,f5aed45ccc6755fa5099b93acfc8c9d5,Gaetano Pirrello,Red,,United States,,,,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Su Mudaerji,-400,25.0,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Flyweight,MALE,3,0,2,0,5.25,0.58,0.66,1.0,2,1,6,0,0,0,1,1,0,0,2,Southpaw,172.72,182.88,125,25,1,-2,-2,-2,0,-5,0,-1,0,-7.62,-17.78,3,-1.5,-1.3,-0.66,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,385f05b85563cc4214ee650833ff1f58,Zarrukh Adashev,Red,,People Republic China,,,,mixed,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0
Dalcha Lungiambula,-143,69.93006993,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Middleweight,MALE,3,1,0,0,1.79,0.55,2.83,0.5,1,1,6,0,0,0,0,1,0,0,1,Orthodox,172.72,193.04,185,33,1,0,0,1,3,7,0,-1,2,12.7,-7.62,-1,1.04,1.0,-1.81,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,dbff76c3b222c9427a8df4693e763a30,Markus Perez,Red,,Democratic Republic Congo,,,,judo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Francisco Figueiredo,-155,64.51612903,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Flyweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,167.64,175.26,135,31,1,0,1,1,1,5,0,0,0,10.16,7.62,-6,3.79,0.0,0.0,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,527b92d4429ede96b31dcd8142156faa,Jerome Rivera,Red,,Brazil,,,,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mike Davis,-175,57.14285714,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,0,False,Lightweight,MALE,3,0,1,0,5.87,0.54,0.77,0.33,1,2,8,0,0,0,0,1,0,0,1,Orthodox,182.88,182.88,145,28,0,-1,-1,-1,-2,-8,0,-1,0,-5.08,-5.08,-3,-5.87,0.0,-0.77,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,f952be663cd664680496395cb836a115,Mason Jones,Red,,United States,,,,wrestling,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
