fighter,odds,ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,current_lose_streak,current_win_streak,draw,avg_SIG_STlanded,avg_SIG_STpct,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,match_weightclass_rank,Women's Flyweight_rank,Women's Featherweight_rank,Women's Strawweight_rank,Women's Bantamweight_rank,Heavyweight_rank,Light Heavyweight_rank,Middleweight_rank,Welterweight_rank,Lightweight_rank,Featherweight_rank,Bantamweight_rank,Flyweight_rank,Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,kd_bout,sig_str_landed_bout,sig_str_attempted_bout,sig_str_pct_bout,tot_str_landed_bout,tot_str_attempted_bout,td_landed_bout,td_attempted_bout,td_pct_bout,sub_attempts_bout,pass_bout,rev_bout,bout_id,opponent,corner,avg_SUATT,country_of_origin,camp,camp_country,camp_city,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts
Yves Jabouin,200,200.0,2014-06-14,"Vancouver, British Columbia, Canada", Canada,1,False,Bantamweight,MALE,3,1,0,0,30.71428571,0.441428571,0.714285714,0.237142857,3,3,16,0,0,3,1,0,0,0,4,Orthodox,170.18,172.72,135,35,-2,0,0,-1,0,1,0,1,0,-2.54,5.08,5,20.78571429,0.0,0.119047619,0,1,,,,,,,,,,,,,,,0,U-DEC,,3.0,5:00,900.0,0.0,60.0,132.0,0.45,81.0,156.0,5.0,8.0,0.62,0.0,2.0,0.0,43d99f258b655f2ba22b9d379a66ec72,Mike Easton,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kajan Johnson,-185,54.05405405,2014-06-14,"Vancouver, British Columbia, Canada", Canada,0,False,Lightweight,MALE,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,155,30,-1,0,0,0,-1,3,0,0,0,-5.08,-10.16,-1,26.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3.0,2:01,721.0,0.0,29.0,91.0,0.31,29.0,91.0,4.0,9.0,0.44,0.0,3.0,1.0,9cebf12cf4d4436c01b8b14ef40b1228,Tae Hyun Bang,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Roland Delorme,140,140.0,2014-06-14,"Vancouver, British Columbia, Canada", Canada,0,False,Bantamweight,MALE,3,1,0,0,29.4,0.484,2.0,0.25,2,2,11,0,0,0,1,0,2,0,3,Orthodox,175.26,180.34,135,30,1,0,-2,-3,2,-11,0,0,-2,-10.16,-10.16,7,-29.4,-1.4,-2.0,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,2.0,20.0,0.1,25.0,44.0,1.0,1.0,1.0,0.0,3.0,1.0,3f4fdeecbd028ffaf0b633b4dc7d656d,Michinori Tanaka,Red,,,,,,judo,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Jason Saggo,-105,95.23809524,2014-06-14,"Vancouver, British Columbia, Canada", Canada,1,False,Lightweight,MALE,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,155,28,0,0,0,0,0,0,0,0,0,5.08,7.62,4,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,4:57,297.0,0.0,10.0,24.0,0.41,29.0,45.0,2.0,3.0,0.66,0.0,9.0,0.0,032cd277e964d5902bcf22b778344f57,Josh Shockley,Red,,,Tiger Muay Thai,Thailand,Phuket,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Benson Henderson,-225,44.44444444,2014-06-07,"Albuquerque, New Mexico, USA", USA,1,False,Lightweight,MALE,5,0,1,0,62.33333333,0.474444444,2.777777778,0.521111111,7,1,35,5,0,3,5,0,0,0,8,Southpaw,175.26,177.8,170,30,0,2,-4,-5,1,-30,-5,2,0,-2.54,7.62,3,-46.33333333,-0.444444445,-0.111111111,0,1,2.0,,,,,,,,,2.0,,,,13.0,1,SUB,Rear Naked Choke,4.0,1:16,976.0,,,,,,,,,,,,,4943e64cdf91bb0f21f703d643eeb5a2,Rustam Khabilov,Red,,,MMA LAB ,Arizona,Glendale,taekwondo,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Diego Sanchez,120,120.0,2014-06-07,"Albuquerque, New Mexico, USA", USA,1,False,Lightweight,MALE,3,2,0,0,36.0,0.3855,1.25,0.2735,6,7,55,2,0,2,6,5,0,0,13,Southpaw,177.8,182.88,170,32,1,0,-3,-6,3,-28,-1,-2,0,-5.08,-7.62,3,9.72727273,-0.9,-0.431818182,0,1,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,358f44dd82bc6dabeb5a1fde8af3e26f,Ross Pearson,Red,,United States,,,,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
John Dodson,-570,17.54385965,2014-06-07,"Albuquerque, New Mexico, USA", USA,1,False,Flyweight,MALE,3,0,1,0,41.0,0.354,0.6,0.15,3,1,12,2,0,0,1,3,0,0,4,Orthodox,160.02,167.64,135,29,0,0,-1,-1,0,0,-1,-2,1,7.62,0.0,-1,-7.25,0.5,0.15,0,1,1.0,,,,,,,,,,,,1.0,,1,KO/TKO,,2.0,5:00,600.0,,,,,,,,,,,,,75912b0362a6bbd3e89f509ccc8a069a,John Moraga,Red,,,JacksonWink MMA,New Mexico,Albuquerque,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Rafael Dos Anjos,-280,35.71428571,2014-06-07,"Albuquerque, New Mexico, USA", USA,1,False,Lightweight,MALE,3,1,0,0,30.92857143,0.371428571,1.857142857,0.273571429,5,5,37,0,0,0,6,1,2,0,9,Southpaw,172.72,177.8,170,29,1,2,-3,-7,3,-29,0,-1,-1,0.0,2.54,-3,-26.42857143,1.607142857,-0.607142857,0,1,5.0,,,,,,,,,5.0,,,,,1,KO/TKO,Punch,2.0,3:36,516.0,,,,,,,,,,,,,8a8785cb50b8f85bd58992d93a0973b7,Jason High,Red,,,,,,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Yves Edwards,145,145.0,2014-06-07,"Albuquerque, New Mexico, USA", USA,0,False,Lightweight,MALE,3,3,0,0,27.84210526,0.477368421,0.263157895,0.175263158,6,9,42,0,0,1,2,5,2,0,10,Southpaw,175.26,185.42,155,37,2,0,-5,-9,8,-37,0,-5,-1,0.0,-5.08,11,26.15789474,-0.026315789,2.236842105,0,1,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,3.0,2:31,751.0,,,,,,,,,,,,,c45f64de5e02d2ada8de980b335ab31a,Piotr Hallmann,Red,,,,,,mixed,0,0,1,0,1,0,0,0,1,1,0,0,0,3,0
Erik Perez,-120,83.33333333,2014-06-07,"Albuquerque, New Mexico, USA", USA,0,False,Bantamweight,MALE,3,0,1,0,30.8,0.592,2.4,0.264,3,1,9,0,0,0,1,2,1,0,4,Orthodox,172.72,172.72,135,24,0,0,-1,-1,0,2,0,-2,2,0.0,0.0,-5,-2.3,0.8,0.35,0,1,12.0,,,,,,,,,,,12.0,,,1,SUB,Rear Naked Choke,2.0,1:52,412.0,,,,,,,,,,,,,71fab6df6ee3af614ef792b9781193ee,Bryan Caraway,Red,,,Alliance MMA,California,San Diego,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Yaotzin Meza,540,540.0,2014-06-07,"Albuquerque, New Mexico, USA", USA,0,False,Bantamweight,MALE,3,1,0,0,6.0,0.346666667,0.666666667,0.276666667,1,2,6,0,0,0,0,0,1,0,1,Orthodox,175.26,187.96,145,33,0,0,0,0,1,0,0,0,-1,-7.62,-12.7,13,59.0,0.166666667,0.833333333,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,c946def1b08a71b01e94f02022b1211c,Sergio Pettis,Red,,,,,,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Bobby Voelker,-105,95.23809524,2014-06-07,"Albuquerque, New Mexico, USA", USA,0,False,Welterweight,MALE,3,3,0,0,51.33333333,0.316666667,1.333333333,0.266666667,0,3,8,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,35,1,0,1,1,1,1,0,0,0,-2.54,-5.08,10,3.66666667,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,251680a76be73a833cb6b11567212ee1,Lance Benoist,Red,,,,,,mixed,1,0,0,1,0,0,1,0,0,0,0,1,0,2,0
Scott Jorgensen,-245,40.81632653,2014-06-07,"Albuquerque, New Mexico, USA", USA,1,False,Flyweight,MALE,3,3,0,0,37.5,0.41625,1.0,0.295,2,5,18,0,0,0,1,1,1,0,3,Orthodox,165.1,167.64,135,31,2,0,-2,-3,4,-15,0,-1,-1,2.54,2.54,3,-4.5,-0.25,4.0,0,1,15.0,,,,,,,,,,,,15.0,,1,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,b32dc98cdfe740aae1f230e9a7767f94,Danny Martinez,Red,,,,,,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Jon Tuck,-150,66.66666667,2014-06-07,"Albuquerque, New Mexico, USA", USA,1,False,Lightweight,MALE,3,1,0,0,51.5,0.4,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,180.34,185.42,155,29,1,0,-1,-1,1,-6,0,0,0,0.0,-5.08,2,-51.5,-1.0,0.0,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Kick,3.0,2:47,767.0,,,,,,,,,,,,,403bb1b6261f2571794387c2c94a575a,Jake Lindsey,Red,,,Kings MMA,California,Huntington Beach,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Patrick Cummins,-310,32.25806452,2014-06-07,"Albuquerque, New Mexico, USA", USA,1,False,Light Heavyweight,MALE,3,1,0,0,8.0,0.36,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,205,33,1,0,0,0,1,-1,0,0,0,2.54,7.62,3,-8.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2.0,2:28,448.0,,,,,,,,,,,,,52df58b0058def02ca39458a33f69b3a,Roger Narvaez,Red,,,,,,wrestling,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Stipe Miocic,-650,15.38461538,2014-05-31,"Sao Paulo, Brazil", Brazil,1,False,Heavyweight,MALE,5,0,2,0,54.16666667,0.46,1.5,0.503333333,3,1,14,0,0,0,3,2,0,0,5,Orthodox,193.04,203.2,240,31,0,1,0,-1,-2,6,0,-1,0,-7.62,-12.7,-3,30.69047619,0.714285714,-1.071428571,0,1,7.0,,,,,7.0,,,,,,,,,1,KO/TKO,Punch,1.0,0:35,35.0,1.0,8.0,14.0,0.57,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,a02b58a23fb5f0ce26c6835d89282dcf,Fabio Maldonado,Red,,United States,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vitor Miranda,185,185.0,2014-05-31,"Sao Paulo, Brazil", Brazil,0,True,Heavyweight,MALE,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,185,35,0,0,0,0,0,0,0,0,0,2.54,5.08,11,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,21.0,47.0,0.44,103.0,136.0,0.0,1.0,0.0,0.0,0.0,0.0,728de009e9717824e0cf200e305a0cff,Antonio Carlos Junior,Red,,,,,,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Marcio Alexandre Junior,185,185.0,2014-05-31,"Sao Paulo, Brazil", Brazil,0,True,Middleweight,MALE,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,190.5,185,25,0,0,0,0,0,0,0,0,0,-2.54,-7.62,2,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,3.0,0:25,625.0,0.0,8.0,21.0,0.38,22.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,e30d3f13787729edf52f2bc354109330,Warlley Alves,Red,,,,,,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Demian Maia,-455,21.97802198,2014-05-31,"Sao Paulo, Brazil", Brazil,1,False,Welterweight,MALE,3,2,0,0,20.44444444,0.493888889,2.277777778,0.346666667,5,6,45,1,0,0,5,1,6,0,12,Southpaw,185.42,182.88,170,36,2,0,-5,-12,6,-45,-1,-1,-6,5.08,5.08,7,-20.44444444,-0.944444444,-2.277777778,0,1,8.0,,,,,,,,8.0,,,,,,1,U-DEC,,3.0,5:00,900.0,1.0,29.0,73.0,0.39,83.0,128.0,2.0,3.0,0.66,0.0,5.0,0.0,1c19204f39b9477b0d4e921f4dfe9356,Alexander Yakovlev,Red,,Brazil,,,,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Rony Jason,-320,31.25,2014-05-31,"Sao Paulo, Brazil", Brazil,0,False,Featherweight,MALE,3,0,1,0,18.6,0.476,0.2,0.2,3,1,8,1,0,0,1,2,1,0,4,Orthodox,170.18,177.8,145,30,0,0,-2,-1,-1,5,-1,0,-1,2.54,2.54,2,26.8,-0.4,0.4,0,1,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,0.0,30.0,73.0,0.41,40.0,83.0,2.0,6.0,0.33,1.0,1.0,0.0,cd21a9e818fad1f769b12b8c1241eb5e,Robert Peralta,Red,,,,,,jiu jitsu,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
Rodrigo Damm,290,290.0,2014-05-31,"Sao Paulo, Brazil", Brazil,0,False,Lightweight,MALE,3,0,2,0,51.25,0.4225,0.75,0.32,2,1,10,0,0,1,1,0,1,0,3,Orthodox,170.18,180.34,155,34,0,-1,-1,-2,1,-7,0,0,-1,5.08,-2.54,5,-5.25,0.5,-0.75,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,37.0,104.0,0.35,42.0,117.0,0.0,4.0,0.0,0.0,0.0,0.0,6b164afca97c9147dc31e69791955ef2,Rashid Magomedov,Red,,,,,,jiu jitsu,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Elias Silverio,-500,20.0,2014-05-31,"Sao Paulo, Brazil", Brazil,1,False,Lightweight,MALE,3,0,2,0,65.0,0.59,2.5,0.75,2,0,6,0,0,0,2,0,0,0,2,Orthodox,180.34,185.42,155,27,0,-1,-1,-1,0,-3,0,0,0,-7.62,-7.62,-3,-37.0,0.0,-0.5,0,1,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,3.0,4:21,861.0,0.0,65.0,172.0,0.37,65.0,172.0,1.0,1.0,1.0,1.0,1.0,0.0,a7728f7f760946a533f247f2d00c8a60,Ernest Chavez,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Paulo Thiago,-175,57.14285714,2014-05-31,"Sao Paulo, Brazil", Brazil,0,False,Welterweight,MALE,3,1,0,0,16.0,0.341818182,1.181818182,0.267272727,2,6,26,0,0,0,3,1,1,0,5,Orthodox,180.34,185.42,170,33,0,0,-2,-5,5,-23,0,-1,-1,0.0,-5.08,2,18.0,-1.090909091,0.818181818,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,42.0,110.0,0.38,48.0,119.0,1.0,7.0,0.14,0.0,0.0,0.0,ddc1bb8748ff93c0008c931743b0e345,Gasan Umalatov,Red,,,,,,judo,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Kevin Souza,-325,30.76923077,2014-05-31,"Sao Paulo, Brazil", Brazil,1,False,Featherweight,MALE,3,0,1,0,52.0,0.38,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,182.88,187.96,145,29,0,0,0,0,0,0,0,0,0,-10.16,-15.24,1,-3.0,0.0,4.0,0,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,f5a82ee66312efe7e33848b2d24c2c61,Mark Eddiva,Red,,,,,,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Ricardo Abreu,-320,31.25,2014-05-31,"Sao Paulo, Brazil", Brazil,1,False,Middleweight,MALE,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,185,30,0,0,0,0,0,0,0,0,0,2.54,-5.08,3,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2.0,1:06,366.0,2.0,33.0,101.0,0.32,43.0,111.0,0.0,0.0,0.0,1.0,3.0,0.0,a1061b1254e6f2ffcb6475c90ff92df1,Wagner Silva,Red,,,,,,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Marcos Rogerio de Lima,-150,66.66666667,2014-05-31,"Sao Paulo, Brazil", Brazil,1,False,Heavyweight,MALE,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,253,28,0,0,0,0,0,0,0,0,0,2.54,-7.62,-2,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,0:20,20.0,1.0,7.0,10.0,0.7,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,d81640ac5574ae031416ab5b17869dd4,Richardson Moreira,Red,,,American Top Team,Florida,Coconut Creek,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Pedro Munhoz,-295,33.89830508,2014-05-31,"Sao Paulo, Brazil", Brazil,1,False,Bantamweight,MALE,3,1,0,0,33.0,0.33,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,27,1,0,0,0,1,-3,0,0,0,10.16,12.7,0,-33.0,-1.0,0.0,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,2:47,167.0,0.0,24.0,43.0,0.55,27.0,46.0,2.0,2.0,1.0,1.0,0.0,0.0,1564680ddeec9c7be9915e89ca801256,Matt Hobar,Red,,Brazil,,,,karate,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
Mark Munoz,235,235.0,2014-05-31,"Berlin, Germany", Germany,0,False,Middleweight,MALE,5,1,0,0,29.66666667,0.416666667,1.583333333,0.255,4,4,25,0,0,1,3,4,0,0,8,Orthodox,182.88,182.88,185,36,0,0,-3,-7,3,-17,0,-4,0,5.08,10.16,8,28.33333333,-0.416666667,-1.583333333,0,1,7.0,,,,,,,7.0,,,,,,,1,SUB,Rear Naked Choke,1.0,3:57,237.0,0.0,3.0,9.0,0.33,3.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,6af2a0a906f7eef326307d0645766e48,Gegard Mousasi,Red,,,,,,wrestling,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
Francis Carmont,-165,60.60606061,2014-05-31,"Berlin, Germany", Germany,0,False,Middleweight,MALE,3,1,0,0,25.28571429,0.482857143,1.714285714,0.382857143,6,1,19,0,0,1,3,0,2,0,6,Orthodox,190.5,198.12,205,32,1,1,-3,2,-4,5,1,2,0,-2.54,-5.08,2,-5.36263737,0.120879121,0.285714286,0,1,9.0,,,,,,,9.0,,,,,,,1,U-DEC,,3.0,5:00,900.0,0.0,29.0,86.0,0.33,41.0,100.0,1.0,4.0,0.25,1.0,0.0,0.0,7dcaa336b7b04946a9e68ddf7b696439,CB Dollaway,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Luke Barnatt,-155,64.51612903,2014-05-31,"Berlin, Germany", Germany,0,False,Middleweight,MALE,3,0,3,0,65.66666667,0.406666667,0.666666667,0.5,3,0,6,0,0,0,1,1,1,0,3,Orthodox,198.12,195.58,185,26,0,-2,-2,-2,0,-5,0,-1,0,-12.7,-2.54,3,-45.66666667,0.333333333,0.333333333,0,1,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,0.0,44.0,187.0,0.23,44.0,187.0,0.0,1.0,0.0,0.0,0.0,0.0,8b69f69af9644389a619162853b84f1c,Sean Strickland,Red,,,,,,mixed,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1
Tom Niinimaki,-245,40.81632653,2014-05-31,"Berlin, Germany", Germany,0,False,Featherweight,MALE,3,0,1,0,17.0,0.62,4.0,0.66,1,0,3,0,0,1,0,0,0,0,1,Orthodox,175.26,175.26,145,31,0,-1,-1,-1,0,-3,0,0,0,10.16,12.7,7,-17.0,0.0,-4.0,0,1,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,4:15,255.0,0.0,7.0,11.0,0.63,11.0,16.0,2.0,7.0,0.28,0.0,2.0,0.0,d521d8a56fc211feecbca27b750dcaf6,Niklas Backstrom,Red,,,,,,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Nick Hein,-140,71.42857143,2014-05-31,"Berlin, Germany", Germany,1,False,Lightweight,MALE,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,167.64,167.64,155,30,-1,0,0,0,-1,3,0,0,0,5.08,10.16,5,61.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,50.0,105.0,0.47,87.0,148.0,2.0,6.0,0.33,0.0,2.0,0.0,4dce7386f47f9011568ae1afd79687a1,Drew Dober,Red,,,Tiger Muay Thai,Thailand,Phuket,judo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Magnus Cedenblad,-105,95.23809524,2014-05-31,"Berlin, Germany", Germany,1,False,Middleweight,MALE,3,0,1,0,7.5,0.54,0.0,0.0,1,1,3,0,0,0,0,0,1,0,1,Orthodox,195.58,200.66,185,32,0,0,0,0,1,0,0,0,-1,-10.16,-5.08,8,9.5,-1.0,1.0,0,1,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2.0,4:59,599.0,0.0,17.0,31.0,0.54,58.0,83.0,3.0,5.0,0.6,1.0,4.0,1.0,b4b123828de7ffbba04bfd2e69faaed1,Krzysztof Jotko,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vaughan Lee,305,305.0,2014-05-31,"Berlin, Germany", Germany,0,False,Bantamweight,MALE,3,0,1,0,37.83333333,0.46,0.666666667,0.073333333,1,3,13,0,0,0,2,0,1,0,3,Orthodox,167.64,167.64,125,31,0,0,1,1,0,4,0,1,-1,7.62,12.7,-2,-10.69047619,0.047619047,0.761904762,0,1,,,,,,,,,,,,,,,0,KO/TKO,Punch,1.0,0:25,25.0,0.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0dfef97e9c5fe4552960b943256838ba,Iuri Alcantara,Red,,,Phuket Top Team ,Thailand,Phuket,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Peter Sobotta,140,140.0,2014-05-31,"Berlin, Germany", Germany,1,False,Welterweight,MALE,3,3,0,0,22.33333333,0.326666667,1.0,0.146666667,0,3,9,0,0,0,0,0,0,0,0,Southpaw,182.88,190.5,170,27,3,0,0,0,3,-9,0,0,0,0.0,-5.08,2,-22.33333333,-0.666666667,-1.0,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,47.0,101.0,0.46,121.0,180.0,3.0,5.0,0.6,0.0,5.0,0.0,20e857d126b004e6c5ec973901e456c2,Pawel Pawlak,Red,,,,,,judo,0,0,1,0,0,1,0,1,1,1,0,0,0,3,1
Andy Ogle,205,205.0,2014-05-31,"Berlin, Germany", Germany,0,False,Featherweight,MALE,3,2,0,0,29.75,0.47,1.5,0.48,1,3,12,0,0,0,1,0,0,0,1,Orthodox,172.72,175.26,145,25,0,0,0,0,0,-2,0,0,0,0.0,5.08,-5,0.0,0.25,0.0,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,44.0,116.0,0.37,78.0,150.0,1.0,5.0,0.2,0.0,2.0,0.0,b06608b57171e045564fef9ea194be8c,Maximo Blanco,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Viktor Pesta,160,160.0,2014-05-31,"Berlin, Germany", Germany,0,False,Heavyweight,MALE,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,240,23,0,0,0,0,0,0,0,0,0,0.0,2.54,-4,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,26.0,84.0,0.3,46.0,120.0,1.0,9.0,0.11,0.0,1.0,0.0,c92c49b6f8d9f00b9c45b6743f38bdf5,Ruslan Magomedov,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Renan Barao,-910,10.98901099,2014-05-24,"Las Vegas, Nevada, USA", USA,0,True,Bantamweight,MALE,5,0,7,0,50.42857143,0.402857143,1.428571429,0.178571429,7,0,19,4,0,0,3,2,2,0,7,Orthodox,167.64,177.8,135,27,0,-6,-3,-2,-2,-5,-3,0,-1,0.0,-7.62,-1,-9.42857143,1.0,0.285714285,0,1,0.0,,,,,,,,,,,0.0,,3.0,1,KO/TKO,Punches,5.0,2:26,1346.0,0.0,64.0,273.0,0.23,68.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,1d1056e46672c6fd60d49e3fbf8ecd76,TJ Dillashaw,Red,,,Nova Uniao,Brazil,Rio de Janeiro,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Daniel Cormier,-750,13.33333333,2014-05-24,"Las Vegas, Nevada, USA", USA,1,False,Light Heavyweight,MALE,3,0,3,0,50.33333333,0.53,1.0,0.2,3,0,7,0,0,0,2,1,0,0,3,Orthodox,180.34,182.88,235,35,0,-2,1,4,-5,27,3,1,0,0.0,5.08,-8,-16.41666666,0.416666667,0.166666667,0,1,4.0,,,,,,4.0,,,,,,,,1,SUB,Rear Naked Choke,3.0,3:53,833.0,0.0,50.0,80.0,0.62,131.0,173.0,3.0,3.0,1.0,2.0,11.0,0.0,a0ae25f8d5b1ac8dbd55d5db13849ac9,Dan Henderson,Red,,,American Kickboxing Academy,California,San Jose,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Robbie Lawler,-170,58.82352941,2014-05-24,"Las Vegas, Nevada, USA", USA,1,False,Welterweight,MALE,3,1,0,0,35.63636364,0.45,1.272727273,0.5,3,4,25,1,0,1,2,4,0,0,7,Southpaw,180.34,187.96,170,32,0,0,3,1,1,0,-1,1,0,-5.08,-7.62,3,-11.81818182,0.272727273,0.454545454,0,1,1.0,,,,,,,,1.0,,,,,,1,KO/TKO,Knee,3.0,3:06,786.0,1.0,68.0,155.0,0.43,72.0,159.0,0.0,1.0,0.0,0.0,0.0,1.0,8630b21f1c3e0f9a73fcfcbd89f2b15d,Jake Ellenberger,Red,,United States,,,,karate,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0
