fighter,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts
Irwin Rivera,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Derek Brunson,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Joanne Calderwood,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Vicente Luque,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Lando Vannata,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Frankie Saenz,wrestling,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Johnny Munoz,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jamall Emmers,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fabricio Werdum,mixed,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
Carla Esparza,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Paul Craig,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Francisco Trinaldo,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Nicolas Dalby,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Movsar Evloev,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Tanner Boser,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Bethe Correia,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ramazan Emeev,sambo,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
Marc Diakiese,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Ariane Lipski,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Grant Dawson,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Joe Duffy,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Brett Johns,jiu jitsu,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Malcolm Gordon,jiu jitsu,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Davi Ramos,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Calvin Kattar,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Tim Elliott,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Jimmie Rivera,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
John Phillips,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ricardo Ramos,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Modestas Bukauskas,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Jared Gordon,boxing,1,1,1,0,0,0,1,0,0,1,0,0,0,2,1
Diana Belbita,judo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Jack Shore,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kamaru Usman,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Alexander Volkanovski,mixed,0,1,1,1,0,0,1,0,0,0,0,0,0,2,1
Petr Yan,taekwondo,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0
Jessica Andrade,judo,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Amanda Ribas,jiu jitsu,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
Volkan Oezdemir,kickboxing,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Elizeu Zaleski dos Santos,capoeira,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Makwan Amirkhani,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Leonardo Santos,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Raulian Paiva,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Karol Rosa,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Luis Pena,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Mara Romero Borella,judo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Philipe Lins,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Sean Woodson,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Takashi Sato,judo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Jordan Griffin,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Curtis Blaydes,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Josh Emmett,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Raquel Pennington,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Belal Muhammad,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Clay Guida,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Marc-Andre Barriault,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cortney Casey,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Frank Camacho,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Karl Roberson,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Charles Rosa,karate,1,0,0,1,1,0,1,0,0,0,0,0,0,3,0
Andre Fili,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Merab Dvalishvili,sambo,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
Anthony Ivy,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amanda Nunes,karate,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0
Raphael Assuncao,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Aljamain Sterling,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Neil Magny,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Eddie Wineland,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Ian Heinisch,wrestling,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Cody Stamann,wrestling,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
Charles Byrd,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Jussier Formiga,mixed,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Alonzo Menifield,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Evan Dunham,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Tyron Woodley,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Blagoy Ivanov,judo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Jamahal Hill,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Chris Gutierrez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dan Ige,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Krzysztof Jotko,wrestling,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
Song Yadong,kung fu,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0
Nate Landwehr,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rodrigo Nascimento,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alexander Hernandez,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Hunter Azure,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Chase Sherman,mixed,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Ryan Spann,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Aleksei Oleinik,wrestling,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
