fighter,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts
Matt Bessette,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Felipe Arantes,judo,0,0,1,0,0,1,1,1,0,0,0,0,0,2,1
Rolando Dy,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Shinsho Anzai,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Viviane Pereira,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jenel Lausa,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CM Punk,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rashad Coulter,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Rashad Evans,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Mike Santiago,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Johnny Eduardo,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jarred Brooks,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Eric Spicely,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Daniel Kelly,judo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Bradley Scott,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alexa Grasso,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Diego Rivas,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Poliana Botelho,muay thai,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Henry Briones,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Claudio Puelles,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vitor Belfort,jiu jitsu,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Alberto Mina,jiu jitsu,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Justin Willis,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Shana Dobson,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dhiego Lima,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Matthew Lopez,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Bec Rawlings,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Tom Duquesnoy,sambo,1,1,1,0,0,0,0,0,0,1,1,0,0,2,2
Mark Godbeer,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CB Dollaway,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Mike Pyle,taekwondo,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Bryan Caraway,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Jordan Johnson,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Maryna Moroz,boxing,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Albert Morales,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Steven Peterson,mixed,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Joshua Burkman,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Oskar Piechota,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Tyson Pedro,jiu jitsu,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Damien Brown,kickboxing,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Rob Wilkinson,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lyoto Machida,karate,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Tim Johnson,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Alan Patrick,capoeira,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Maia Stevenson,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Iuri Alcantara,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jordan Rinaldi,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Vinc Pichel,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Austin Arnett,karate,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Sabah Homasi,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kalindra Faria,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mads Burnell,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Julian Marquez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Carls John De Tomas,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Antonio Braga Neto,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
David Teymur,muay thai,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0
Amanda Cooper,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nicco Montano,boxing,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Barb Honchak,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Joe Soto,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Christina Marks,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Karine Gevorgyan,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ariel Beck,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Michael Bisping,kickboxing,1,0,0,1,1,0,0,0,0,1,0,0,0,3,0
Wang Guan,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kailin Curran,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Cyril Asker,mixed,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
Ryan Benoit,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Alex Chambers,karate,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Anthony Hamilton,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Nate Marquardt,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jake Collier,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Johny Hendricks,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Hacran Dias,mixed,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Marcelo Golm,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marcin Held,jiu jitsu,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
Artem Lobov,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Salim Touahri,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pearl Gonzalez,boxing,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Takanori Gomi,boxing,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Syuri Kondo,karate,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1
Daichi Abe,judo,1,0,0,1,0,1,1,0,0,0,0,0,0,2,1
Luke Rockhold,jiu jitsu,0,1,0,0,0,1,1,0,0,1,0,0,0,0,2
Hector Lombard,judo,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Jason Saggo,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mitch Clarke,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Francimar Barroso,jiu jitsu,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Bojan Mihajlovic,judo,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
Alvaro Herrera,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rafael Natal,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Damian Grabowski,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Frankie Perez,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
James Mulheron,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Charlie Ward,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Leslie Smith,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Daniel Omielanczuk,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Travis Browne,jiu jitsu,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Josh Stansbury,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Dong Hyun Kim,judo,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2
Tarec Saffiedine,karate,0,1,1,1,1,0,1,0,0,1,0,0,0,3,1
Kwan Ho Kwak,mixed,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0
Naoki Inoue,karate,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Kiichi Kunimoto,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Paulo Costa,muay thai,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
Erick Silva,jiu jitsu,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Luan Chagas,karate,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Peter Sobotta,judo,0,0,1,0,0,1,0,1,1,1,0,0,0,3,1
Oliver Enkamp,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Reza Madadi,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Nico Musoke,mixed,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Joachim Christensen,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jessica Penne,jiu jitsu,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Hector Sandoval,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Patrick Williams,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Will Brooks,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brad Pickett,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Rony Jason,jiu jitsu,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
Garreth McLellan,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Sam Sicilia,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Anderson Silva,jiu jitsu,0,0,1,1,0,0,0,1,0,1,0,0,1,4,0
Abel Trujillo,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Daniel Jolly,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bobby Nash,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Henrique da Silva,muay thai,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Marcos Rogerio de Lima,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jason Gonzalez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jocelyn Jones-Lybarger,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Dmitrii Smoliakov,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Dominick Cruz,wrestling,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Brandon Thatch,karate,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0
Cole Miller,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
James Moontasri,taekwondo,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
Bojan Velickovic,muay thai,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
Tim Kennedy,jiu jitsu,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Nikita Krylov,karate,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Valerie Letourneau,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Zach Makovsky,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Joe Gigliotti,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tiago Trator,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Keith Berish,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Juliana Lima,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Elvis Mutapcic,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kyle Noke,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Yusuke Kasuya,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Seohee Ham,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Richard Walsh,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ben Nguyen,taekwondo,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1
Yao Zhikui,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Ryan Bader,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Gegard Mousasi,boxing,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1
Magnus Cedenblad,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kyoji Horiguchi,karate,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Anna Elmose,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Miesha Tate,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Erik Perez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marco Beltran,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Erick Montano,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Polo Reyes,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lukasz Sajewski,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Shamil Abdurakhimov,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Jonathan Wilson,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cody East,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kelly Faszholz,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Roy Nelson,kung fu,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
Godofredo Pepey,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Glaico Franca,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Roan Carneiro,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Chris Wade,kickboxing,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Augusto Montano,kung fu,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Yancy Medeiros,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Jessin Ayari,mixed,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
Taylor Lapilus,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scott Askham,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Shane Campbell,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Jeremy Kennedy,boxing,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Nate Diaz,jiu jitsu,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Anthony Johnson,wrestling,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1
Rick Story,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Hyun Gyu Lim,boxing,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Alberto Uda,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Viktor Pesta,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Francisco Rivera,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cesar Arzamendia,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jim Alers,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Michael McDonald,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Cain Velasquez,wrestling,1,1,1,0,0,0,0,0,0,1,0,0,0,2,1
Cory Hendricks,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anthony Birchak,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Russell Doane,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Rory MacDonald,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Steve Bosse,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Tamdan McCrory,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Chris Beal,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ali Bagautinov,sambo,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Dan Henderson,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Chris Camozzi,wrestling,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
Antonio Silva,karate,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
Albert Tumenov,boxing,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0
Jon Tuck,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Yan Cabral,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ulka Sasaki,mixed,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Efrain Escudero,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Oluwale Bamgbose,taekwondo,0,0,1,0,1,0,0,1,1,1,0,0,0,4,0
Igor Pokrajac,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ian Entwistle,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Filip Pejic,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rob Whiteford,judo,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
James Te Huna,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brendan O'Reilly,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Julian Erosa,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Mike Wilkinson,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Norman Parke,judo,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2
Teemu Packalen,jiu jitsu,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Daniel Sarafian,judo,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
Jonavin Webb,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Noad Lahat,judo,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Josh Barnett,jiu jitsu,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
George Sullivan,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Matt Dwyer,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Patrick Cote,muay thai,1,1,1,1,0,0,0,0,0,1,0,0,0,3,1
Maximo Blanco,wrestling,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
Lorenz Larkin,kung fu,1,0,0,1,0,0,0,0,1,1,0,0,0,3,0
Diego Brandao,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Sheldon Westcott,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sarah Kaufman,kickboxing,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Josh Samman,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hayder Hassan,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Joe Proctor,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Tatsuya Kawajiri,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Gabriel Gonzaga,jiu jitsu,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Joby Sanchez,kickboxing,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Zubaira Tukhugov,sambo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Benson Henderson,taekwondo,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Yoshihiro Akiyama,judo,1,1,0,1,1,1,0,0,0,0,0,0,0,3,2
Dongi Yang,judo,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2
Yui Chul Nam,mixed,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1
Tae Hyun Bang,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ning Guangyou,muay thai,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Dominique Steele,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Horacio Gutierrez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hector Urbina,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vernon Ramos,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Valmir Lazaro,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ronda Rousey,judo,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2
Anthony Perosh,jiu jitsu,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0
Richie Vaculik,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Fabio Maldonado,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Gleison Tibau,jiu jitsu,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Kevin Souza,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Viscardi Andrade,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Bruno Korea,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Paddy Holohan,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Neil Seery,mixed,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Aisling Daly,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Cathal Pendred,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Bubba Bush,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Shawn Jordan,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Adriano Martins,jiu jitsu,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Francisco Trevino,muay thai,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Chris Cariaso,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Takeya Mizugaki,mixed,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1
Katsunori Kikuno,karate,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Naoyuki Kotani,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Clay Collard,wrestling,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Joe Riggs,boxing,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Sam Stout,kickboxing,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0
Yves Jabouin,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chris Kelades,mixed,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Jared Rosholt,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Chris Dempsey,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Anthony Christodoulou,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Reginaldo Vieira,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rafael Feijao,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Hugo Viana,taekwondo,1,0,0,0,0,0,0,1,1,1,0,0,0,3,0
Kenny Robertson,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Daron Cruickshank,taekwondo,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Ramsey Nijem,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Jessamyn Duke,wrestling,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
Mickael Lebout,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marcus Brimage,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Frank Mir,karate,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1
Josh Thomson,mixed,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Scott Jorgensen,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Igor Araujo,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Kevin Casey,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Andrew Craig,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Michael Graves,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Angela Magana,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dan Miller,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Darrell Montague,boxing,1,1,1,0,0,0,0,0,0,1,0,0,0,2,1
Mike Swick,taekwondo,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
Yosdenis Cedeno,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Leandro Silva,muay thai,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Steve Montgomery,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Danny Martinez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dennis Siver,kickboxing,0,0,0,1,0,1,0,1,0,0,1,0,0,2,2
Alan Omer,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Niklas Backstrom,jiu jitsu,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Piotr Hallmann,karate,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0
Thiago Tavares,jiu jitsu,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Brian Ebersole,wrestling,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1
Ricardo Abreu,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
KJ Noons,karate,1,0,1,1,1,0,0,0,0,0,0,0,0,4,0
Wendell Oliveira,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lucas Martins,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Luiz Dutra,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mark Munoz,wrestling,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
Phillipe Nover,jiu jitsu,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0
Mark Eddiva,boxing,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0
Zhang Lipeng,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Roldan Sangcha-an,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nolan Ticman,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hatsu Hioki,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Dylan Andrews,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vik Grujic,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alptekin Ozkilic,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Rampage Jackson,wrestling,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1
